               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.040461,            0.034489,            0.016142,             0.69181,             0.62912,             0.67471,             0.40394,            0.036706,            0.020004,            0.009907,            0.005941,            0.005941,            0.005941
                 125,            0.040397,            0.034845,            0.016209,             0.68969,             0.63085,             0.67528,             0.40454,            0.036685,            0.019997,           0.0098893,            0.005908,            0.005908,            0.005908
                 126,            0.040399,            0.034785,            0.016099,             0.69162,             0.63007,              0.6756,             0.40506,            0.036667,            0.019988,           0.0098656,            0.005875,            0.005875,            0.005875
                 127,            0.040509,            0.034726,            0.016216,             0.69181,             0.63219,             0.67613,             0.40564,            0.036648,            0.019981,           0.0098449,            0.005842,            0.005842,            0.005842
                 128,            0.040271,            0.034483,             0.01621,             0.69352,             0.63207,             0.67709,             0.40611,            0.036634,            0.019972,           0.0098282,            0.005809,            0.005809,            0.005809
                 129,            0.040348,            0.034654,            0.016372,             0.69334,              0.6346,             0.67764,              0.4067,            0.036618,            0.019965,            0.009811,            0.005776,            0.005776,            0.005776
                 130,            0.040338,            0.034328,            0.016297,             0.69455,             0.63504,             0.67809,             0.40727,            0.036603,            0.019955,           0.0097899,            0.005743,            0.005743,            0.005743
                 131,            0.040082,            0.034299,            0.016095,             0.69756,             0.63168,             0.67861,             0.40754,            0.036584,            0.019946,           0.0097797,             0.00571,             0.00571,             0.00571
                 132,            0.040271,            0.034657,            0.016038,             0.69132,               0.638,             0.67918,             0.40819,            0.036566,            0.019939,           0.0097639,            0.005677,            0.005677,            0.005677
                 133,            0.040226,            0.034485,            0.015818,             0.69398,             0.63538,             0.67916,             0.40858,            0.036549,            0.019931,           0.0097475,            0.005644,            0.005644,            0.005644
                 134,            0.040001,            0.034467,            0.015893,             0.69658,             0.63497,             0.67958,             0.40887,             0.03653,            0.019923,           0.0097289,            0.005611,            0.005611,            0.005611
                 135,            0.040105,            0.034366,            0.015863,              0.6972,             0.63481,             0.68018,             0.40927,            0.036509,            0.019916,           0.0097146,            0.005578,            0.005578,            0.005578
                 136,            0.040024,            0.034481,              0.0158,             0.69883,             0.63491,             0.68079,             0.40997,             0.03649,            0.019907,           0.0096984,            0.005545,            0.005545,            0.005545
                 137,            0.039757,            0.034135,            0.015629,             0.69781,             0.63387,             0.68082,             0.41034,            0.036468,            0.019899,           0.0096816,            0.005512,            0.005512,            0.005512
                 138,            0.039788,            0.034187,            0.015326,             0.69652,             0.63551,             0.68109,             0.41054,            0.036449,            0.019892,           0.0096689,            0.005479,            0.005479,            0.005479
                 139,            0.039837,            0.034536,            0.015605,             0.69574,             0.63601,             0.68129,               0.411,            0.036432,            0.019885,           0.0096597,            0.005446,            0.005446,            0.005446
