               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,             0.04042,            0.034427,            0.016203,             0.69252,             0.62959,             0.67773,             0.40541,            0.036913,             0.01996,           0.0096341,            0.005809,            0.005809,            0.005809
                 129,            0.040545,            0.034694,            0.016553,             0.69098,             0.63026,             0.67799,             0.40592,            0.036899,            0.019952,           0.0096161,            0.005776,            0.005776,            0.005776
                 130,            0.040518,            0.034332,              0.0164,             0.69129,              0.6344,              0.6788,             0.40662,            0.036885,            0.019942,           0.0095992,            0.005743,            0.005743,            0.005743
                 131,            0.040173,            0.034313,            0.016463,              0.6911,             0.63475,             0.67943,             0.40691,            0.036867,            0.019933,           0.0095891,             0.00571,             0.00571,             0.00571
                 132,            0.040474,            0.034724,            0.016251,             0.69194,             0.63423,             0.67993,             0.40748,            0.036857,            0.019926,            0.009576,            0.005677,            0.005677,            0.005677
                 133,             0.04041,            0.034578,            0.016006,             0.69425,             0.63411,             0.68119,             0.40824,            0.036842,            0.019915,           0.0095628,            0.005644,            0.005644,            0.005644
                 134,            0.040224,            0.034518,            0.016086,             0.69674,             0.63452,             0.68173,             0.40917,            0.036827,            0.019908,           0.0095509,            0.005611,            0.005611,            0.005611
                 135,            0.040286,            0.034411,            0.015958,             0.69807,             0.63497,             0.68238,              0.4098,            0.036814,              0.0199,           0.0095381,            0.005578,            0.005578,            0.005578
                 136,            0.040241,            0.034527,            0.016041,             0.69867,             0.63674,             0.68296,             0.41044,            0.036797,             0.01989,           0.0095199,            0.005545,            0.005545,            0.005545
                 137,             0.04004,            0.034128,            0.015852,             0.69853,             0.63937,             0.68339,              0.4107,            0.036783,             0.01988,           0.0095081,            0.005512,            0.005512,            0.005512
                 138,            0.040153,            0.034259,            0.015568,             0.70047,             0.63854,             0.68387,             0.41108,            0.036772,            0.019872,            0.009497,            0.005479,            0.005479,            0.005479
                 139,            0.040067,            0.034607,            0.015805,             0.70059,             0.63978,             0.68495,             0.41143,             0.03676,            0.019866,           0.0094837,            0.005446,            0.005446,            0.005446
                 140,            0.039923,            0.034284,            0.015705,             0.70033,             0.63957,             0.68545,              0.4122,            0.036746,            0.019856,           0.0094674,            0.005413,            0.005413,            0.005413
                 141,            0.039969,            0.034339,            0.015733,             0.70259,             0.63768,             0.68543,              0.4125,            0.036727,            0.019849,            0.009451,             0.00538,             0.00538,             0.00538
                 142,            0.040052,            0.034172,            0.015473,             0.70146,             0.63767,             0.68554,              0.4127,            0.036711,            0.019842,           0.0094323,            0.005347,            0.005347,            0.005347
                 143,            0.039826,             0.03396,            0.015856,             0.70292,             0.63768,              0.6863,             0.41307,            0.036698,            0.019834,           0.0094151,            0.005314,            0.005314,            0.005314
                 144,            0.039801,            0.034159,            0.015301,             0.70379,             0.63703,              0.6867,              0.4136,            0.036679,            0.019826,           0.0093983,            0.005281,            0.005281,            0.005281
                 145,            0.040021,            0.034281,            0.015307,             0.70443,             0.63714,             0.68733,             0.41394,            0.036662,             0.01982,           0.0093796,            0.005248,            0.005248,            0.005248
                 146,            0.039935,            0.034438,            0.015319,             0.70548,             0.63691,             0.68774,             0.41446,            0.036644,            0.019813,           0.0093658,            0.005215,            0.005215,            0.005215
                 147,             0.03964,            0.034122,            0.015365,             0.70874,             0.63689,             0.68856,              0.4148,            0.036626,            0.019807,            0.009355,            0.005182,            0.005182,            0.005182
                 148,            0.039834,            0.034399,            0.015311,              0.7105,             0.63767,             0.68901,              0.4152,            0.036611,            0.019799,           0.0093439,            0.005149,            0.005149,            0.005149
                 149,            0.039681,            0.034003,            0.015408,             0.71023,             0.63859,             0.68967,              0.4158,            0.036598,            0.019791,           0.0093262,            0.005116,            0.005116,            0.005116
                 150,             0.03993,            0.034278,            0.015355,             0.70869,             0.64009,             0.68982,             0.41642,            0.036582,            0.019785,           0.0093074,            0.005083,            0.005083,            0.005083
                 151,            0.039633,            0.034137,            0.015279,             0.70929,             0.63931,             0.69038,              0.4169,            0.036564,            0.019778,           0.0092879,             0.00505,             0.00505,             0.00505
                 152,            0.039762,            0.033806,            0.015291,             0.71056,             0.63926,             0.69123,             0.41775,            0.036546,            0.019772,           0.0092713,            0.005017,            0.005017,            0.005017
                 153,            0.039611,            0.034153,             0.01514,             0.70944,             0.64142,             0.69187,             0.41857,            0.036532,            0.019767,           0.0092595,            0.004984,            0.004984,            0.004984
                 154,            0.039726,            0.033926,            0.015041,             0.71188,             0.63937,             0.69242,             0.41909,            0.036519,            0.019761,            0.009244,            0.004951,            0.004951,            0.004951
                 155,            0.039621,            0.034375,              0.0149,             0.71118,             0.64061,              0.6929,             0.41992,            0.036502,            0.019753,           0.0092276,            0.004918,            0.004918,            0.004918
                 156,            0.039562,             0.03414,            0.015022,             0.71087,             0.64202,             0.69378,             0.42033,            0.036483,            0.019745,           0.0092049,            0.004885,            0.004885,            0.004885
                 157,            0.039379,            0.033972,            0.014962,             0.71028,             0.64233,             0.69393,             0.42094,            0.036469,            0.019739,           0.0091855,            0.004852,            0.004852,            0.004852
                 158,            0.039531,            0.033806,             0.01495,             0.71276,             0.64021,             0.69463,             0.42124,            0.036454,            0.019733,           0.0091644,            0.004819,            0.004819,            0.004819
                 159,            0.039247,            0.033909,            0.014601,             0.71359,             0.64055,             0.69504,              0.4217,             0.03644,            0.019726,           0.0091501,            0.004786,            0.004786,            0.004786
                 160,            0.039405,            0.034272,            0.014708,             0.71203,             0.64214,             0.69572,             0.42235,            0.036429,            0.019721,           0.0091304,            0.004753,            0.004753,            0.004753
                 161,            0.039226,            0.033647,            0.014485,             0.71555,             0.64004,             0.69608,             0.42286,            0.036413,            0.019714,           0.0091163,             0.00472,             0.00472,             0.00472
